statuses_count,followers_count,friends_count,favourite_count,listed_count,default_profile_binary,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,IS_BOT
21246,121500,346,35894,532,0,0,0,6.01188455008489,34.38030560271647,0.09790605546123372,10.156762874929258,0.15053763440860216,351.15606936416185,1,1,2,0,8,0
45791,3227215,1946,16134,9039,0,1,1,9.577703409328592,675.0083664505333,0.40702781844802344,3.3746078226312486,1.890608659276302,1658.3838643371018,1,0,2,0,13,0
875763,864968,767106,23,1371,1,1,0,279.52856686881586,276.08298755186723,244.84711139482923,0.007341206511330993,0.43759974465368656,1.1275729820911322,1,2,2,1,0,1
88862,951,275,22147,9,0,0,0,24.649653259361997,0.2638002773925104,0.07628294036061026,6.143411927877947,0.0024965325936199723,3.458181818181818,1,2,1,2,5,0
142073,1412,623,5582,12,0,1,0,33.140424539304874,0.3293678563097737,0.14532306974574294,1.3020760438535106,0.0027991602519244225,2.2664526484751204,1,0,2,0,4,0
85419,1615,182,34629,27,0,0,0,18.839655932951036,0.35619761799735333,0.04014115571239524,7.637626819585355,0.005955006616674019,8.873626373626374,1,0,2,0,6,0
4098,155,0,57,2,0,0,0,1.9330188679245284,0.07311320754716981,0.0,0.02688679245283019,0.0009433962264150943,0,1,3,0,0,0,0
22256,1231,1089,2017,68,0,0,0,5.131657827991699,0.2838367535162555,0.2510952271155176,0.4650680193682269,0.015679040811620935,1.1303948576675849,1,0,2,0,18,0
110251,378218,347,120,646,0,1,0,27.94702154626109,95.87275031685678,0.0879594423320659,0.030418250950570342,0.16375158428390368,1089.9654178674352,1,2,2,0,20,1
136670,1900367,9,53420,840,0,1,1,28.56814381270903,397.2339046822743,0.0018812709030100335,11.16638795986622,0.17558528428093645,211151.88888888888,1,0,1,0,5,0
13559,820881,5,924,8578,1,1,0,4.891414141414141,296.1331168831169,0.0018037518037518038,0.3333333333333333,3.0945165945165947,164176.2,1,0,1,0,19,1
3106,23454,284,4332,13,1,1,0,1.2062135922330097,9.108349514563107,0.11029126213592233,1.6823300970873787,0.005048543689320388,82.58450704225352,1,0,2,0,16,0
100989,808,513,12325,5,0,0,0,30.19103139013453,0.24155455904334827,0.15336322869955157,3.6846038863976083,0.0014947683109118087,1.5750487329434697,1,0,4,0,6,0
35406,136685,0,1763,613,0,0,0,9.848678720445063,38.02086230876217,0.0,0.49040333796940194,0.17051460361613352,0,1,0,1,0,3,1
522604,325236,311,14,654,0,1,1,103.3426932964208,64.3140201700613,0.06149891239865533,0.002768439786434645,0.12932568716630413,1045.7749196141478,1,0,1,0,21,1
24831,3755,4996,0,1,1,1,0,9.772136953955135,1.4777646595828413,1.966155057064148,0.0,0.0003935458480913026,0.7516012810248198,1,0,1,0,2,1
874,99787,248,266,124,1,1,0,0.2199295420231505,25.109964771011576,0.06240563663814796,0.0669350780070458,0.03120281831907398,402.366935483871,1,3,2,0,4,1
298,790829,320,25209,4406,0,0,1,0.06490960575038118,172.25637116096712,0.06970159006752341,5.490960575038118,0.959703768242213,2471.340625,1,0,1,0,17,0
37704,1154173,37,1,1559,0,1,1,10.470424881977229,320.5145792835323,0.010274923632324354,0.00027770063871146905,0.4329352957511802,31193.864864864863,1,0,2,0,6,1
279822,151634,901,4685,2824,0,1,1,55.71923536439665,30.19394663480685,0.17941059338908802,0.93289526085225,0.5623257666268419,168.29522752497226,1,1,5,1,16,1
30789,99661,67618,22,90,0,1,0,9.082300884955751,29.398525073746313,19.946312684365783,0.006489675516224189,0.02654867256637168,1.4738826939572303,1,0,3,0,8,1
18357,1749279,119,6789,10702,0,1,1,3.7585995085995085,358.1652334152334,0.024365274365274366,1.3900491400491402,2.1912366912366914,14699.823529411764,1,0,2,0,17,0
22692,1033,1814,2111,31,0,1,0,5.247918593894542,0.23889916743755782,0.41951896392229415,0.48820536540240517,0.007169287696577244,0.5694597574421169,1,0,3,0,23,0
95717,1557,4281,6601,64,0,1,0,22.601416765053127,0.3676505312868949,1.01086186540732,1.5586776859504132,0.015112160566706022,0.36370007007708477,1,2,2,0,20,1
