statuses_count,followers_count,friends_count,favourite_count,listed_count,default_profile_binary,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,hashtags_per_post,urls_per_post,mentions_per_post,words_per_post,IS_BOT
49757 ,16596 ,16944 ,42684 ,1 ,1,1,1,57.6558516801854,19.230590961761298,19.63383545770568,49.460023174971035,0.0011587485515643105,0.9794617563739377,1,2,3,0,23,0.11,0.275,1.385,17.38,1
3569 ,87313765 ,50 ,2 ,83703 ,1,1,1,0.8327111525898273,20371.853709752682,0.011665888940737284,0.0004666355576294914,19.52939804013066,1746275.3,1,0,2,0,13,0.815,1.08,0.165,14.0,0
73786 ,161827 ,361 ,762 ,1471 ,1,1,1,17.135624709707386,37.58174640037157,0.08383650719925685,0.17696237807710172,0.34161634928007434,448.27423822714684,1,0,1,0,23,0.075,0.985,1.245,14.825,0
2 ,9 ,543 ,0 ,0 ,1,1,1,0.0035335689045936395,0.015901060070671377,0.9593639575971732,0.0,0.0,0.016574585635359115,1,8,2,0,21,0.0,0.0,0.5,21.5,1
11945 ,28513011 ,846 ,1123 ,40146 ,1,1,1,3.6686117936117935,8757.06726044226,0.25982800982800985,0.3449017199017199,12.329852579852579,33703.32269503546,1,0,2,0,25,0.205,0.815,0.865,23.745,0
37970 ,1361 ,2298 ,30750 ,29 ,1,1,1,13.459766040411202,0.48245303084012764,0.8146047500886211,10.900389932647997,0.010280042538107055,0.5922541340295909,1,0,3,1,24,0.2,0.38,0.755,17.5,0
223627 ,6711313 ,1188 ,6720 ,18101 ,1,1,1,46.78389121338912,1404.0403765690376,0.2485355648535565,1.405857740585774,3.7868200836820085,5649.253367003367,1,0,3,0,12,0.03,1.005,0.12,13.98,0
16531 ,11021996 ,1374 ,6535 ,17156 ,1,1,1,3.503815175922001,2336.158541754981,0.29122509537939806,1.3851208139041966,3.636286562102586,8021.8311499272195,1,0,2,0,27,0.11,1.44,0.505,27.165,0
1783 ,117338 ,143 ,865 ,377 ,1,1,1,0.3779143704959729,24.870284018651972,0.030309453158117845,0.18334039847392963,0.07990674014412887,820.5454545454545,1,0,3,0,23,3.085,0.99,0.5,31.6,0
5232 ,688 ,748 ,25891 ,0 ,1,1,1,1.4091031510907621,0.18529490977646107,0.2014543495825478,6.973067600323189,0.0,0.9197860962566845,1,0,3,0,9,0.12690355329949238,0.41116751269035534,0.9543147208121827,17.746192893401016,1
100086 ,560374 ,1019 ,3389 ,8025 ,1,1,1,22.21171770972037,124.36173990235243,0.22614292055037727,0.7521083000443852,1.780958721704394,549.9254170755643,1,0,1,0,25,0.1,0.81,0.76,23.59,0
419727 ,19595248 ,266 ,0 ,65365 ,1,1,1,76.71851581063791,3581.6574666422957,0.04861999634436118,0.0,11.94754158289161,73666.34586466165,1,0,2,0,16,0.0,1.0,0.0,1.425,0
20543 ,8094486 ,231 ,98 ,6108 ,1,1,1,4.367134353741497,1720.766581632653,0.049107142857142856,0.020833333333333332,1.2984693877551021,35041.06493506493,1,0,2,0,8,0.33,0.76,0.775,26.315,0
670 ,1334 ,1812 ,0 ,4 ,1,1,1,0.1688933703050164,0.3362742626670028,0.45676833879505924,0.0,0.001008318628686665,0.7362030905077263,1,0,2,0,17,0.075,1.005,0.0,9.705,1
16 ,2 ,48 ,14 ,0 ,1,1,1,0.024132730015082957,0.0030165912518853697,0.07239819004524888,0.021116138763197588,0.0,0.041666666666666664,1,1,1,0,0,0.5625,0.8125,0.125,3.625,1
1054 ,132350 ,295 ,1757 ,625 ,1,1,1,0.44192872117400417,55.492662473794546,0.12368972746331237,0.7366876310272537,0.2620545073375262,448.64406779661016,1,0,2,0,24,0.665,0.795,1.62,20.195,0
21156 ,24545901 ,14 ,19 ,15753 ,1,1,1,11.289220917822838,13098.132870864461,0.007470651013874066,0.010138740661686232,8.406083244397012,1753278.642857143,1,0,3,0,18,0.1,0.695,1.055,22.52,0
60 ,1457 ,1213 ,0 ,34 ,1,1,1,0.012626262626262626,0.3066077441077441,0.25526094276094274,0.0,0.007154882154882155,1.2011541632316571,1,0,2,0,19,0.11666666666666667,0.0,0.11666666666666667,18.8,1
8519 ,323 ,1440 ,6693 ,2 ,1,1,1,1.9075235109717867,0.07232422749664129,0.32243618450515005,1.4986565158978953,0.0004478280340349306,0.22430555555555556,1,0,3,0,0,0.395,0.44,1.145,18.585,1
